query_table,candidate_table
CAN_CSV0000000000024893.csv,CAN_CSV0000000000020982.csv
CAN_CSV0000000000019383.csv,CAN_CSV0000000000002092.csv
CAN_CSV0000000000016797.csv,CAN_CSV0000000000011318.csv
CAN_CSV0000000000005930.csv,CAN_CSV0000000000001161.csv
CAN_CSV0000000000004711.csv,CAN_CSV0000000000004697.csv
CAN_CSV0000000000002323.csv,CAN_CSV0000000000001286.csv
CAN_CSV0000000000027430.csv,CAN_CSV0000000000014613.csv
CAN_CSV0000000000005318.csv,CAN_CSV0000000000005320.csv
CAN_CSV0000000000001242.csv,CAN_CSV0000000000013603.csv
CAN_CSV0000000000005744.csv,CAN_CSV0000000000005743.csv
CAN_CSV0000000000010564.csv,CAN_CSV0000000000003410.csv
CAN_CSV0000000000004583.csv,CAN_CSV0000000000009463.csv
CAN_CSV0000000000013946.csv,CAN_CSV0000000000000848.csv
CAN_CSV0000000000004700.csv,CAN_CSV0000000000027155.csv
CAN_CSV0000000000008164.csv,CAN_CSV0000000000008117.csv
CAN_CSV0000000000020982.csv,CAN_CSV0000000000011154.csv
CAN_CSV0000000000013144.csv,CAN_CSV0000000000012980.csv
CAN_CSV0000000000000961.csv,CAN_CSV0000000000027228.csv
CAN_CSV0000000000020732.csv,CAN_CSV0000000000018617.csv
CAN_CSV0000000000019350.csv,CAN_CSV0000000000025003.csv
CAN_CSV0000000000005079.csv,CAN_CSV0000000000005090.csv
CAN_CSV0000000000012837.csv,CAN_CSV0000000000012785.csv
CAN_CSV0000000000022085.csv,CAN_CSV0000000000026357.csv
CAN_CSV0000000000005102.csv,CAN_CSV0000000000013782.csv
CAN_CSV0000000000003410.csv,CAN_CSV0000000000003463.csv
CAN_CSV0000000000004940.csv,CAN_CSV0000000000002292.csv
CAN_CSV0000000000000893.csv,CAN_CSV0000000000013782.csv
CAN_CSV0000000000001024.csv,CAN_CSV0000000000007184.csv
CAN_CSV0000000000000659.csv,CAN_CSV0000000000000663.csv
CAN_CSV0000000000005336.csv,CAN_CSV0000000000012903.csv
CAN_CSV0000000000004354.csv,CAN_CSV0000000000004356.csv
CAN_CSV0000000000015886.csv,CAN_CSV0000000000024139.csv
CAN_CSV0000000000026045.csv,CAN_CSV0000000000010124.csv
CAN_CSV0000000000008029.csv,CAN_CSV0000000000010708.csv
CAN_CSV0000000000002011.csv,CAN_CSV0000000000001677.csv
CAN_CSV0000000000013124.csv,CAN_CSV0000000000013782.csv
CAN_CSV0000000000004959.csv,CAN_CSV0000000000000719.csv
CAN_CSV0000000000027410.csv,CAN_CSV0000000000001908.csv
CAN_CSV0000000000027039.csv,CAN_CSV0000000000002132.csv
CAN_CSV0000000000007832.csv,CAN_CSV0000000000018581.csv
CAN_CSV0000000000005080.csv,CAN_CSV0000000000005083.csv
CAN_CSV0000000000006650.csv,CAN_CSV0000000000012980.csv
CAN_CSV0000000000018581.csv,CAN_CSV0000000000003892.csv
CAN_CSV0000000000013725.csv,CAN_CSV0000000000000719.csv
CAN_CSV0000000000021238.csv,CAN_CSV0000000000021273.csv
CAN_CSV0000000000027188.csv,CAN_CSV0000000000002176.csv
CAN_CSV0000000000024255.csv,CAN_CSV0000000000008817.csv
CAN_CSV0000000000025317.csv,CAN_CSV0000000000025310.csv
CAN_CSV0000000000013036.csv,CAN_CSV0000000000027228.csv
CAN_CSV0000000000026782.csv,CAN_CSV0000000000004404.csv
CAN_CSV0000000000009470.csv,CAN_CSV0000000000011643.csv
CAN_CSV0000000000013602.csv,CAN_CSV0000000000000719.csv
CAN_CSV0000000000001286.csv,CAN_CSV0000000000001298.csv
CAN_CSV0000000000001198.csv,CAN_CSV0000000000013782.csv
CAN_CSV0000000000013912.csv,CAN_CSV0000000000001114.csv
CAN_CSV0000000000000638.csv,CAN_CSV0000000000005325.csv
CAN_CSV0000000000015899.csv,CAN_CSV0000000000016370.csv
CAN_CSV0000000000000724.csv,CAN_CSV0000000000000725.csv
CAN_CSV0000000000018831.csv,CAN_CSV0000000000027007.csv
CAN_CSV0000000000025306.csv,CAN_CSV0000000000011333.csv
CAN_CSV0000000000001370.csv,CAN_CSV0000000000001379.csv
CAN_CSV0000000000006809.csv,CAN_CSV0000000000006813.csv
CAN_CSV0000000000013427.csv,CAN_CSV0000000000013492.csv
CAN_CSV0000000000014474.csv,CAN_CSV0000000000005263.csv
CAN_CSV0000000000016775.csv,CAN_CSV0000000000021470.csv
CAN_CSV0000000000007184.csv,CAN_CSV0000000000015696.csv
CAN_CSV0000000000014315.csv,CAN_CSV0000000000012980.csv
CAN_CSV0000000000001818.csv,CAN_CSV0000000000002073.csv
CAN_CSV0000000000005757.csv,CAN_CSV0000000000005760.csv
CAN_CSV0000000000014850.csv,CAN_CSV0000000000014851.csv
CAN_CSV0000000000003365.csv,CAN_CSV0000000000027007.csv
CAN_CSV0000000000005013.csv,CAN_CSV0000000000001247.csv
CAN_CSV0000000000007014.csv,CAN_CSV0000000000005009.csv
CAN_CSV0000000000001861.csv,CAN_CSV0000000000001867.csv
CAN_CSV0000000000001286.csv,CAN_CSV0000000000001260.csv
CAN_CSV0000000000003463.csv,CAN_CSV0000000000016713.csv
CAN_CSV0000000000001423.csv,CAN_CSV0000000000001425.csv
CAN_CSV0000000000001286.csv,CAN_CSV0000000000001287.csv
CAN_CSV0000000000016419.csv,CAN_CSV0000000000020848.csv
CAN_CSV0000000000005768.csv,CAN_CSV0000000000000832.csv
CAN_CSV0000000000005070.csv,CAN_CSV0000000000014315.csv
CAN_CSV0000000000002131.csv,CAN_CSV0000000000027043.csv
CAN_CSV0000000000015285.csv,CAN_CSV0000000000024021.csv
CAN_CSV0000000000023229.csv,CAN_CSV0000000000026372.csv
CAN_CSV0000000000013397.csv,CAN_CSV0000000000001119.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013321.csv
CAN_CSV0000000000017519.csv,CAN_CSV0000000000020140.csv
CAN_CSV0000000000012002.csv,CAN_CSV0000000000008837.csv
CAN_CSV0000000000003274.csv,CAN_CSV0000000000009986.csv
CAN_CSV0000000000026879.csv,CAN_CSV0000000000019236.csv
CAN_CSV0000000000000831.csv,CAN_CSV0000000000000830.csv
CAN_CSV0000000000004959.csv,CAN_CSV0000000000004970.csv
CAN_CSV0000000000001435.csv,CAN_CSV0000000000007512.csv
CAN_CSV0000000000009663.csv,CAN_CSV0000000000026372.csv
CAN_CSV0000000000025245.csv,CAN_CSV0000000000011689.csv
CAN_CSV0000000000022699.csv,CAN_CSV0000000000018607.csv
CAN_CSV0000000000005102.csv,CAN_CSV0000000000005097.csv
CAN_CSV0000000000013953.csv,CAN_CSV0000000000005083.csv
CAN_CSV0000000000000642.csv,CAN_CSV0000000000005309.csv
CAN_CSV0000000000006344.csv,CAN_CSV0000000000013199.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000000664.csv
CAN_CSV0000000000000581.csv,CAN_CSV0000000000000553.csv
CAN_CSV0000000000006872.csv,CAN_CSV0000000000012980.csv
CAN_CSV0000000000005070.csv,CAN_CSV0000000000000558.csv
CAN_CSV0000000000007018.csv,CAN_CSV0000000000007007.csv
CAN_CSV0000000000001362.csv,CAN_CSV0000000000001361.csv
CAN_CSV0000000000005418.csv,CAN_CSV0000000000005302.csv
CAN_CSV0000000000001963.csv,CAN_CSV0000000000017825.csv
CAN_CSV0000000000006988.csv,CAN_CSV0000000000013782.csv
CAN_CSV0000000000004720.csv,CAN_CSV0000000000027172.csv
CAN_CSV0000000000018581.csv,CAN_CSV0000000000007832.csv
CAN_CSV0000000000001198.csv,CAN_CSV0000000000014315.csv
CAN_CSV0000000000014005.csv,CAN_CSV0000000000013603.csv
CAN_CSV0000000000011356.csv,CAN_CSV0000000000022992.csv
CAN_CSV0000000000007677.csv,CAN_CSV0000000000007676.csv
CAN_CSV0000000000017604.csv,CAN_CSV0000000000007855.csv
CAN_CSV0000000000005783.csv,CAN_CSV0000000000000820.csv
CAN_CSV0000000000004391.csv,CAN_CSV0000000000003311.csv
CAN_CSV0000000000013124.csv,CAN_CSV0000000000013123.csv
CAN_CSV0000000000024792.csv,CAN_CSV0000000000024224.csv
CAN_CSV0000000000006882.csv,CAN_CSV0000000000013199.csv
CAN_CSV0000000000022503.csv,CAN_CSV0000000000022208.csv
CAN_CSV0000000000005583.csv,CAN_CSV0000000000005337.csv
CAN_CSV0000000000027051.csv,CAN_CSV0000000000002253.csv
CAN_CSV0000000000009606.csv,CAN_CSV0000000000017236.csv
CAN_CSV0000000000013725.csv,CAN_CSV0000000000013603.csv
CAN_CSV0000000000003356.csv,CAN_CSV0000000000015899.csv
CAN_CSV0000000000001058.csv,CAN_CSV0000000000013124.csv
CAN_CSV0000000000017175.csv,CAN_CSV0000000000002124.csv
CAN_CSV0000000000000629.csv,CAN_CSV0000000000001050.csv
