query_table,candidate_table
SG_CSV0000000000001010.csv,SG_CSV0000000000001004.csv
SG_CSV0000000000000158.csv,SG_CSV0000000000001356.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001034.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001003.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001023.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000000996.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001032.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000000993.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001025.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000000991.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001034.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001009.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001037.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001000.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001033.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001016.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001007.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001005.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001006.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001038.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001015.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001022.csv
SG_CSV0000000000001010.csv,SG_CSV0000000000001002.csv
SG_CSV0000000000000158.csv,SG_CSV0000000000000160.csv
SG_CSV0000000000000158.csv,SG_CSV0000000000001357.csv
SG_CSV0000000000000158.csv,SG_CSV0000000000000157.csv
SG_CSV0000000000000158.csv,SG_CSV0000000000000159.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001003.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001004.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001023.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000000996.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001032.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000000993.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001025.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000000991.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001009.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001037.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001000.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001033.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001016.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001007.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001005.csv
SG_CSV0000000000001015.csv,SG_CSV0000000000001006.csv
