query_table,candidate_table
UK_CSV0000000000001955.csv,UK_CSV0000000000000270.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000003912.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000011254.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000007746.csv
UK_CSV0000000000000987.csv,UK_CSV0000000000009096.csv
UK_CSV0000000000003122.csv,UK_CSV0000000000003768.csv
UK_CSV0000000000004295.csv,UK_CSV0000000000005444.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000005323.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000000937.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000008933.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000008925.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000000025.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000005444.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000003349.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000006166.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000008464.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000008201.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000005823.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000006503.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000006968.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000005523.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000000398.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000011112.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000000108.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000000578.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000010933.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000011544.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000008873.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000001008.csv
UK_CSV0000000000001955.csv,UK_CSV0000000000007484.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000010914.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000007781.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000001405.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000006750.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000004389.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000004439.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000002588.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000002476.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000009051.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000011264.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000005979.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000000759.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000000434.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000004873.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000002719.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000006401.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000006921.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000009012.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000005788.csv
UK_CSV0000000000001626.csv,UK_CSV0000000000011254.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000010914.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000007781.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000001405.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000006750.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000004389.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000004439.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000002588.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000003912.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000002476.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000009051.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000011264.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000005979.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000001626.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000000434.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000004873.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000002719.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000006401.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000006921.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000009012.csv
UK_CSV0000000000000759.csv,UK_CSV0000000000005788.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000010914.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000007781.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000001405.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000006750.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000004389.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000004439.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000003912.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000002476.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000009051.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000011264.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000005979.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000001626.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000000759.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000000434.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000004873.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000002719.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000006401.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000006921.csv
UK_CSV0000000000002588.csv,UK_CSV0000000000009012.csv
UK_CSV0000000000000987.csv,UK_CSV0000000000005323.csv
UK_CSV0000000000000987.csv,UK_CSV0000000000001955.csv
UK_CSV0000000000000987.csv,UK_CSV0000000000000937.csv
UK_CSV0000000000000987.csv,UK_CSV0000000000000270.csv
UK_CSV0000000000000987.csv,UK_CSV0000000000008933.csv
UK_CSV0000000000000987.csv,UK_CSV0000000000008925.csv
UK_CSV0000000000000987.csv,UK_CSV0000000000000025.csv
UK_CSV0000000000000987.csv,UK_CSV0000000000005444.csv
UK_CSV0000000000000987.csv,UK_CSV0000000000003349.csv
