query_table,candidate_table
USA_CSV0000000000035745.csv,USA_CSV0000000000036730.csv
USA_CSV0000000000006628.csv,USA_CSV0000000000014861.csv
USA_CSV0000000000035271.csv,USA_CSV0000000000033774.csv
USA_CSV0000000000035934.csv,USA_CSV0000000000000960.csv
USA_CSV0000000000036104.csv,USA_CSV0000000000037302.csv
USA_CSV0000000000017680.csv,USA_CSV0000000000004478.csv
USA_CSV0000000000031033.csv,USA_CSV0000000000008292.csv
USA_CSV0000000000036961.csv,USA_CSV0000000000033432.csv
USA_CSV0000000000033413.csv,USA_CSV0000000000035866.csv
USA_CSV0000000000034990.csv,USA_CSV0000000000032644.csv
USA_CSV0000000000033543.csv,USA_CSV0000000000034329.csv
USA_CSV0000000000033066.csv,USA_CSV0000000000036885.csv
USA_CSV0000000000031994.csv,USA_CSV0000000000034171.csv
USA_CSV0000000000024884.csv,USA_CSV0000000000010040.csv
USA_CSV0000000000035827.csv,USA_CSV0000000000034329.csv
USA_CSV0000000000034329.csv,USA_CSV0000000000033092.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000036126.csv
USA_CSV0000000000036479.csv,USA_CSV0000000000005707.csv
USA_CSV0000000000035712.csv,USA_CSV0000000000033600.csv
USA_CSV0000000000033288.csv,USA_CSV0000000000034454.csv
USA_CSV0000000000035888.csv,USA_CSV0000000000036536.csv
USA_CSV0000000000032324.csv,USA_CSV0000000000036536.csv
USA_CSV0000000000034122.csv,USA_CSV0000000000034107.csv
USA_CSV0000000000036844.csv,USA_CSV0000000000033288.csv
USA_CSV0000000000032785.csv,USA_CSV0000000000034128.csv
USA_CSV0000000000011855.csv,USA_CSV0000000000011998.csv
USA_CSV0000000000035654.csv,USA_CSV0000000000036126.csv
USA_CSV0000000000028363.csv,USA_CSV0000000000028419.csv
USA_CSV0000000000008574.csv,USA_CSV0000000000024984.csv
USA_CSV0000000000033537.csv,USA_CSV0000000000034417.csv
USA_CSV0000000000020493.csv,USA_CSV0000000000026175.csv
USA_CSV0000000000033944.csv,USA_CSV0000000000031309.csv
USA_CSV0000000000033534.csv,USA_CSV0000000000033288.csv
USA_CSV0000000000029635.csv,USA_CSV0000000000034911.csv
USA_CSV0000000000012886.csv,USA_CSV0000000000000514.csv
USA_CSV0000000000033774.csv,USA_CSV0000000000032324.csv
USA_CSV0000000000028805.csv,USA_CSV0000000000008475.csv
USA_CSV0000000000035269.csv,USA_CSV0000000000033600.csv
USA_CSV0000000000037302.csv,USA_CSV0000000000036104.csv
USA_CSV0000000000033630.csv,USA_CSV0000000000033543.csv
USA_CSV0000000000032353.csv,USA_CSV0000000000025409.csv
USA_CSV0000000000036823.csv,USA_CSV0000000000034243.csv
USA_CSV0000000000033432.csv,USA_CSV0000000000034366.csv
USA_CSV0000000000034847.csv,USA_CSV0000000000036730.csv
USA_CSV0000000000023803.csv,USA_CSV0000000000034174.csv
USA_CSV0000000000008127.csv,USA_CSV0000000000024984.csv
USA_CSV0000000000023669.csv,USA_CSV0000000000000999.csv
USA_CSV0000000000033156.csv,USA_CSV0000000000031917.csv
USA_CSV0000000000006400.csv,USA_CSV0000000000014928.csv
USA_CSV0000000000036536.csv,USA_CSV0000000000000564.csv
USA_CSV0000000000037099.csv,USA_CSV0000000000036850.csv
USA_CSV0000000000035745.csv,USA_CSV0000000000034057.csv
USA_CSV0000000000035745.csv,USA_CSV0000000000035179.csv
USA_CSV0000000000035745.csv,USA_CSV0000000000033224.csv
USA_CSV0000000000035745.csv,USA_CSV0000000000034847.csv
USA_CSV0000000000035745.csv,USA_CSV0000000000002048.csv
USA_CSV0000000000035745.csv,USA_CSV0000000000005707.csv
USA_CSV0000000000035745.csv,USA_CSV0000000000034864.csv
USA_CSV0000000000035745.csv,USA_CSV0000000000035122.csv
USA_CSV0000000000035745.csv,USA_CSV0000000000035328.csv
