query_table,candidate_table
CAN_CSV0000000000000474.csv,CAN_CSV0000000000004972.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013001.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000002292.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000027218.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005832.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000004975.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005391.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000012952.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000027217.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005264.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013199.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013514.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013702.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005056.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000000471.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000004766.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000000719.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013142.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013518.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000002181.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005205.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005227.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000000735.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013513.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000004970.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000027219.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000000608.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013603.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000000594.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013321.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013782.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000015560.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005265.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000000610.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001116.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000004974.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000004703.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000015551.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000015570.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005379.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013602.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001197.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001226.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005128.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001114.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000012980.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005057.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005009.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013320.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013701.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000027184.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000012845.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013484.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013497.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000004967.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000000736.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005103.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000014315.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013510.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013036.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013489.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000027228.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001198.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005090.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000027171.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013001.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000002292.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000027218.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000005832.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000662.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000005391.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000012952.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000027217.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000005264.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013199.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013514.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013702.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000004766.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000719.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013518.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000027172.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000565.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000002181.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000005205.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000735.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000556.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013513.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000005227.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000002191.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000027219.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000005138.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000604.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013603.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000608.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013782.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000015560.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000577.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000005265.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000610.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000001116.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000004703.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000015551.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000015570.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000001226.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013602.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000005128.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000661.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000001114.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000027243.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000012980.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000005071.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000558.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000005009.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000027240.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013701.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000027184.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000012845.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013484.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000027264.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013497.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000600.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000005103.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000014315.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013510.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013036.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000013489.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000027228.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000005379.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000567.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000027218.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000005832.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000013199.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000012932.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000013518.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000002181.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000000556.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000000604.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000027239.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000005265.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000027168.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000015570.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000012980.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000013510.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000013036.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000027228.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000005379.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000005034.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000005408.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000012732.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000027217.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000005264.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000013514.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000013702.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000004766.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000012988.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000012682.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000027219.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000000608.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000001244.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000012833.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000015551.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000000664.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000001226.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000012709.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000001114.csv
CAN_CSV0000000000000558.csv,CAN_CSV0000000000000659.csv
