query_table,candidate_table
SG_CSV0000000000000028.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000028.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000028.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000028.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000028.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000028.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000028.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000028.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000028.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000028.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000028.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000028.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000029.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000029.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000029.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000029.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000029.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000029.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000029.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000029.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000029.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000029.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000029.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000029.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000030.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000030.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000030.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000030.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000030.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000030.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000030.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000030.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000030.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000030.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000030.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000031.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000031.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000031.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000031.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000031.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000031.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000031.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000031.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000031.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000031.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000031.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000031.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000032.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000032.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000032.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000032.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000032.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000032.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000032.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000032.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000032.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000032.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000032.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000033.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000033.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000033.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000033.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000033.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000033.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000033.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000033.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000033.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000033.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000033.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000034.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000034.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000034.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000034.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000034.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000034.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000034.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000034.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000034.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000034.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000034.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000034.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000035.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000035.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000035.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000035.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000035.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000035.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000035.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000035.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000035.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000035.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000035.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000036.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000036.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000036.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000036.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000036.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000036.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000036.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000036.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000036.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000036.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000036.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000036.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000037.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000037.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000037.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000037.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000037.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000037.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000037.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000037.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000037.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000037.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000037.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000038.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000038.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000038.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000038.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000038.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000038.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000038.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000038.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000038.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000038.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000038.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000038.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000039.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000039.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000039.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000039.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000039.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000039.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000039.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000039.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000039.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000039.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000039.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000040.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000040.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000040.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000040.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000040.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000040.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000040.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000040.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000040.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000040.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000040.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000041.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000041.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000041.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000041.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000041.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000041.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000041.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000041.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000041.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000041.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000041.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000041.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000042.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000042.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000042.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000042.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000042.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000042.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000042.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000042.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000042.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000042.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000042.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000042.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000043.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000043.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000043.csv,SG_CSV0000000000000051.csv
SG_CSV0000000000000043.csv,SG_CSV0000000000000054.csv
SG_CSV0000000000000043.csv,SG_CSV0000000000000037.csv
SG_CSV0000000000000043.csv,SG_CSV0000000000000040.csv
SG_CSV0000000000000043.csv,SG_CSV0000000000000033.csv
SG_CSV0000000000000043.csv,SG_CSV0000000000000035.csv
SG_CSV0000000000000043.csv,SG_CSV0000000000000032.csv
SG_CSV0000000000000043.csv,SG_CSV0000000000000044.csv
SG_CSV0000000000000043.csv,SG_CSV0000000000000052.csv
SG_CSV0000000000000043.csv,SG_CSV0000000000000030.csv
SG_CSV0000000000000044.csv,SG_CSV0000000000000046.csv
SG_CSV0000000000000044.csv,SG_CSV0000000000000039.csv
SG_CSV0000000000000044.csv,SG_CSV0000000000000051.csv
