query_table,candidate_table
UK_CSV0000000000000023.csv,UK_CSV0000000000012226.csv
UK_CSV0000000000000023.csv,UK_CSV0000000000006543.csv
UK_CSV0000000000000023.csv,UK_CSV0000000000005699.csv
UK_CSV0000000000000023.csv,UK_CSV0000000000001466.csv
UK_CSV0000000000000023.csv,UK_CSV0000000000011252.csv
UK_CSV0000000000000023.csv,UK_CSV0000000000007548.csv
UK_CSV0000000000000023.csv,UK_CSV0000000000002586.csv
UK_CSV0000000000000023.csv,UK_CSV0000000000007069.csv
UK_CSV0000000000000023.csv,UK_CSV0000000000000270.csv
UK_CSV0000000000000023.csv,UK_CSV0000000000004615.csv
UK_CSV0000000000000023.csv,UK_CSV0000000000010463.csv
UK_CSV0000000000000023.csv,UK_CSV0000000000000801.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000003766.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000000398.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000008775.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000012651.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000004983.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000000227.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000011427.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000012611.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000011222.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000004080.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000010516.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000005323.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000010073.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000012078.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000005286.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000006912.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000003831.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000009981.csv
UK_CSV0000000000000025.csv,UK_CSV0000000000012165.csv
UK_CSV0000000000000248.csv,UK_CSV0000000000012226.csv
UK_CSV0000000000000248.csv,UK_CSV0000000000006543.csv
UK_CSV0000000000000248.csv,UK_CSV0000000000005699.csv
UK_CSV0000000000000248.csv,UK_CSV0000000000001466.csv
UK_CSV0000000000000248.csv,UK_CSV0000000000011252.csv
UK_CSV0000000000000248.csv,UK_CSV0000000000007548.csv
UK_CSV0000000000000248.csv,UK_CSV0000000000002586.csv
UK_CSV0000000000000248.csv,UK_CSV0000000000007069.csv
UK_CSV0000000000000248.csv,UK_CSV0000000000000270.csv
UK_CSV0000000000000248.csv,UK_CSV0000000000004615.csv
UK_CSV0000000000000248.csv,UK_CSV0000000000010463.csv
UK_CSV0000000000000248.csv,UK_CSV0000000000000801.csv
UK_CSV0000000000000388.csv,UK_CSV0000000000012226.csv
UK_CSV0000000000000388.csv,UK_CSV0000000000006543.csv
UK_CSV0000000000000388.csv,UK_CSV0000000000005699.csv
