query_table,candidate_table
USA_CSV0000000000005489.csv,USA_CSV0000000000021514.csv
USA_CSV0000000000005707.csv,USA_CSV0000000000031647.csv
USA_CSV0000000000005707.csv,USA_CSV0000000000027843.csv
USA_CSV0000000000005707.csv,USA_CSV0000000000011253.csv
USA_CSV0000000000005707.csv,USA_CSV0000000000014813.csv
USA_CSV0000000000005707.csv,USA_CSV0000000000018681.csv
USA_CSV0000000000005707.csv,USA_CSV0000000000023414.csv
USA_CSV0000000000005707.csv,USA_CSV0000000000036729.csv
USA_CSV0000000000005707.csv,USA_CSV0000000000016853.csv
USA_CSV0000000000005707.csv,USA_CSV0000000000015129.csv
USA_CSV0000000000005724.csv,USA_CSV0000000000016721.csv
USA_CSV0000000000005745.csv,USA_CSV0000000000031598.csv
USA_CSV0000000000005853.csv,USA_CSV0000000000034605.csv
USA_CSV0000000000005853.csv,USA_CSV0000000000037025.csv
USA_CSV0000000000006400.csv,USA_CSV0000000000019400.csv
USA_CSV0000000000006400.csv,USA_CSV0000000000014928.csv
USA_CSV0000000000006628.csv,USA_CSV0000000000028155.csv
USA_CSV0000000000006628.csv,USA_CSV0000000000031827.csv
USA_CSV0000000000006628.csv,USA_CSV0000000000014861.csv
USA_CSV0000000000007166.csv,USA_CSV0000000000012506.csv
USA_CSV0000000000007742.csv,USA_CSV0000000000035799.csv
USA_CSV0000000000007742.csv,USA_CSV0000000000035769.csv
USA_CSV0000000000007742.csv,USA_CSV0000000000016409.csv
USA_CSV0000000000007742.csv,USA_CSV0000000000024259.csv
USA_CSV0000000000007742.csv,USA_CSV0000000000020493.csv
USA_CSV0000000000007742.csv,USA_CSV0000000000026175.csv
USA_CSV0000000000007742.csv,USA_CSV0000000000020133.csv
USA_CSV0000000000007742.csv,USA_CSV0000000000010317.csv
USA_CSV0000000000007742.csv,USA_CSV0000000000036210.csv
USA_CSV0000000000007742.csv,USA_CSV0000000000033761.csv
USA_CSV0000000000008127.csv,USA_CSV0000000000024346.csv
USA_CSV0000000000008127.csv,USA_CSV0000000000024984.csv
USA_CSV0000000000008127.csv,USA_CSV0000000000021818.csv
USA_CSV0000000000008127.csv,USA_CSV0000000000024674.csv
USA_CSV0000000000008127.csv,USA_CSV0000000000008574.csv
USA_CSV0000000000008127.csv,USA_CSV0000000000020932.csv
USA_CSV0000000000008127.csv,USA_CSV0000000000019263.csv
USA_CSV0000000000008127.csv,USA_CSV0000000000025067.csv
USA_CSV0000000000008574.csv,USA_CSV0000000000024346.csv
USA_CSV0000000000008574.csv,USA_CSV0000000000024984.csv
USA_CSV0000000000008574.csv,USA_CSV0000000000021818.csv
USA_CSV0000000000008574.csv,USA_CSV0000000000024674.csv
USA_CSV0000000000008574.csv,USA_CSV0000000000008127.csv
USA_CSV0000000000008574.csv,USA_CSV0000000000020932.csv
USA_CSV0000000000008574.csv,USA_CSV0000000000019263.csv
USA_CSV0000000000008574.csv,USA_CSV0000000000025067.csv
USA_CSV0000000000009101.csv,USA_CSV0000000000023092.csv
USA_CSV0000000000009101.csv,USA_CSV0000000000020198.csv
USA_CSV0000000000010040.csv,USA_CSV0000000000024884.csv
USA_CSV0000000000010040.csv,USA_CSV0000000000021801.csv
USA_CSV0000000000010040.csv,USA_CSV0000000000036522.csv
USA_CSV0000000000010317.csv,USA_CSV0000000000036673.csv
USA_CSV0000000000010317.csv,USA_CSV0000000000035799.csv
USA_CSV0000000000010317.csv,USA_CSV0000000000016409.csv
USA_CSV0000000000010317.csv,USA_CSV0000000000024259.csv
USA_CSV0000000000010317.csv,USA_CSV0000000000036210.csv
USA_CSV0000000000010317.csv,USA_CSV0000000000020493.csv
USA_CSV0000000000010317.csv,USA_CSV0000000000026175.csv
USA_CSV0000000000010317.csv,USA_CSV0000000000020133.csv
USA_CSV0000000000010317.csv,USA_CSV0000000000007742.csv
USA_CSV0000000000010317.csv,USA_CSV0000000000035742.csv
USA_CSV0000000000010317.csv,USA_CSV0000000000033761.csv
USA_CSV0000000000011117.csv,USA_CSV0000000000036518.csv
USA_CSV0000000000011164.csv,USA_CSV0000000000018265.csv
USA_CSV0000000000011556.csv,USA_CSV0000000000034974.csv
USA_CSV0000000000011855.csv,USA_CSV0000000000011998.csv
USA_CSV0000000000011855.csv,USA_CSV0000000000025576.csv
USA_CSV0000000000011855.csv,USA_CSV0000000000022811.csv
USA_CSV0000000000011855.csv,USA_CSV0000000000025588.csv
USA_CSV0000000000011855.csv,USA_CSV0000000000004243.csv
USA_CSV0000000000011998.csv,USA_CSV0000000000025576.csv
USA_CSV0000000000011998.csv,USA_CSV0000000000022811.csv
USA_CSV0000000000011998.csv,USA_CSV0000000000025588.csv
USA_CSV0000000000011998.csv,USA_CSV0000000000004243.csv
USA_CSV0000000000011998.csv,USA_CSV0000000000011855.csv
USA_CSV0000000000012199.csv,USA_CSV0000000000006195.csv
USA_CSV0000000000012199.csv,USA_CSV0000000000011171.csv
USA_CSV0000000000012199.csv,USA_CSV0000000000031888.csv
USA_CSV0000000000012199.csv,USA_CSV0000000000024283.csv
USA_CSV0000000000012199.csv,USA_CSV0000000000020405.csv
USA_CSV0000000000012506.csv,USA_CSV0000000000007166.csv
USA_CSV0000000000012509.csv,USA_CSV0000000000023453.csv
USA_CSV0000000000012509.csv,USA_CSV0000000000025409.csv
USA_CSV0000000000012509.csv,USA_CSV0000000000032353.csv
USA_CSV0000000000012509.csv,USA_CSV0000000000006318.csv
USA_CSV0000000000012509.csv,USA_CSV0000000000007720.csv
USA_CSV0000000000012509.csv,USA_CSV0000000000015389.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000034427.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000032630.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000035233.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000031713.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000036191.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000031857.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000032265.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000016076.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000035340.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000028805.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000022218.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000014708.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000015924.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000035979.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000008475.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000036489.csv
USA_CSV0000000000012696.csv,USA_CSV0000000000021375.csv
USA_CSV0000000000012787.csv,USA_CSV0000000000036423.csv
USA_CSV0000000000012886.csv,USA_CSV0000000000032576.csv
USA_CSV0000000000012886.csv,USA_CSV0000000000015228.csv
USA_CSV0000000000012886.csv,USA_CSV0000000000016861.csv
USA_CSV0000000000012886.csv,USA_CSV0000000000014437.csv
USA_CSV0000000000012886.csv,USA_CSV0000000000018011.csv
USA_CSV0000000000012886.csv,USA_CSV0000000000000514.csv
USA_CSV0000000000012886.csv,USA_CSV0000000000030305.csv
USA_CSV0000000000014301.csv,USA_CSV0000000000022198.csv
USA_CSV0000000000014301.csv,USA_CSV0000000000000960.csv
USA_CSV0000000000014301.csv,USA_CSV0000000000029730.csv
USA_CSV0000000000014301.csv,USA_CSV0000000000016853.csv
USA_CSV0000000000014301.csv,USA_CSV0000000000035790.csv
USA_CSV0000000000014301.csv,USA_CSV0000000000025463.csv
USA_CSV0000000000014301.csv,USA_CSV0000000000036479.csv
USA_CSV0000000000014383.csv,USA_CSV0000000000033892.csv
USA_CSV0000000000014399.csv,USA_CSV0000000000011898.csv
USA_CSV0000000000014399.csv,USA_CSV0000000000017686.csv
USA_CSV0000000000014399.csv,USA_CSV0000000000033910.csv
USA_CSV0000000000014399.csv,USA_CSV0000000000011973.csv
USA_CSV0000000000014399.csv,USA_CSV0000000000035421.csv
USA_CSV0000000000014399.csv,USA_CSV0000000000031238.csv
USA_CSV0000000000014399.csv,USA_CSV0000000000017725.csv
USA_CSV0000000000014437.csv,USA_CSV0000000000032576.csv
USA_CSV0000000000014437.csv,USA_CSV0000000000015228.csv
USA_CSV0000000000014437.csv,USA_CSV0000000000016861.csv
USA_CSV0000000000014437.csv,USA_CSV0000000000018011.csv
USA_CSV0000000000014437.csv,USA_CSV0000000000000514.csv
USA_CSV0000000000014437.csv,USA_CSV0000000000012886.csv
USA_CSV0000000000014437.csv,USA_CSV0000000000030305.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000034427.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000032630.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000033318.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000036542.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000031857.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000035340.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000022218.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000036126.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000021375.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000016076.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000035178.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000008475.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000017016.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000033162.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000029619.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000006917.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000014708.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000018260.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000035979.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000012696.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000035233.csv
USA_CSV0000000000014698.csv,USA_CSV0000000000036489.csv
USA_CSV0000000000014813.csv,USA_CSV0000000000031647.csv
USA_CSV0000000000014813.csv,USA_CSV0000000000027843.csv
USA_CSV0000000000014813.csv,USA_CSV0000000000011253.csv
USA_CSV0000000000014813.csv,USA_CSV0000000000018681.csv
USA_CSV0000000000014813.csv,USA_CSV0000000000005707.csv
USA_CSV0000000000014813.csv,USA_CSV0000000000023414.csv
USA_CSV0000000000014813.csv,USA_CSV0000000000036729.csv
USA_CSV0000000000014813.csv,USA_CSV0000000000016853.csv
USA_CSV0000000000014813.csv,USA_CSV0000000000015129.csv
USA_CSV0000000000014996.csv,USA_CSV0000000000034057.csv
USA_CSV0000000000014996.csv,USA_CSV0000000000002048.csv
USA_CSV0000000000014996.csv,USA_CSV0000000000033224.csv
USA_CSV0000000000014996.csv,USA_CSV0000000000036730.csv
USA_CSV0000000000014996.csv,USA_CSV0000000000035745.csv
USA_CSV0000000000014996.csv,USA_CSV0000000000035179.csv
USA_CSV0000000000014996.csv,USA_CSV0000000000036309.csv
