country_tag,type,difficulty,success,r_rsc_id,s_rsc_id,r_pkg_id,s_pkg_id,r_rsc_name,s_rsc_name,r_col_name,s_col_name,sql,nl,sql_success,sql_time,sql_n_rev,sql_review,sql_intok,sql_outok,nl_time,nl_n_rev,nl_review,nl_intok,nl_outok,tot_time
UK,single-table,simple,true,daabf87c-ac22-49c7-8812-8dd59ddc25a0,,4971bfb5-310b-464a-b557-8cf84038b46c,,Natura2000-tranche50-designations.csv,,,,SELECT * FROM R WHERE country_code = 'e';,"Could you show me the details of Natura 2000 sites in England, including their designation types and any associated protected area statuses?",success,4.733,0,,1283,231,6.028,0,,2522,146,10.761
UK,single-table,simple,true,17059225-f673-41ba-9224-c2a6722b9216,,f24c1e1c-f20f-4e31-979e-db929771bdaf,,"",,,,"SELECT species, COUNT(*) AS number_of_tests FROM R WHERE year_test_approved = 2012 GROUP BY species;",How many different tests were conducted on each type of bird in 2012 as part of the statutory exotic viruses research by the Animal and Plant Health Agency?,success,5.612,0,,1503,261,5.653,0,,1812,162,11.265
UK,single-table,simple,true,e27296d6-0d62-4f95-84cb-7efb9b43ec01,,ea639e00-f6af-4f7f-926b-9c7530350015,,,,,,"SELECT department_family, entity FROM R WHERE expense_type = 'hospitalty';","Which departments and entities within the Ministry of Housing, Communities and Local Government have incurred hospitality expenses?",success,6.682,0,,1818,281,4.498,0,,1700,130,11.18
UK,multi-table-join,moderate,true,d996bf42-fabe-4236-93b1-df4402ef3f39,b5b04166-cee5-4472-8fc1-57bee087f39a,87e88687-e6f8-4710-b32b-1b11665e206a,dd2a5b45-9849-47be-89b1-6d41e40c05e7,,,generic_job_title,generic_job_title,"SELECT R.generic_job_title, AVG(R.payscale_minimum__a_) AS avg_min_salary_R, AVG(S.payscale_maximum__a_) AS avg_max_salary_S FROM R JOIN S ON R.generic_job_title = S.generic_job_title GROUP BY R.generic_job_title","What are the average minimum salaries at the Veterinary Medicines Directorate and the average maximum salaries at the Department for Environment, Food and Rural Affairs for the same job titles?",success,8.226,0,,2968,294,7.228,0,,3435,172,15.454
UK,single-table,challenging,true,e67b73ea-884b-42e6-bfdc-6f327dac6f90,,fff4cc89-d266-42dd-a9e3-9877db1e05fc,,,,,,"WITH RankedPosts AS ( SELECT *, ROW_NUMBER() OVER (PARTITION BY ""parent_department"" ORDER BY ""actual_pay_ceiling__a_"" DESC) as rn FROM R ) SELECT * FROM RankedPosts WHERE rn = 1;",Who holds the highest paying position in each parent department within the Ministry of Defence based on the actual pay ceiling?,success,7.197,0,,2719,267,5.935,0,,2644,151,13.132
UK,single-table,moderate,true,145598cc-ca1c-4eb5-ae01-c6a3d7f513e6,,fd6b5da5-0398-487d-8886-f60f83872333,,CSV,,,,"SELECT ""lep17_nm1"", COUNT(*) as count FROM R GROUP BY ""lep17_nm1"" ORDER BY count DESC LIMIT 1",Which Local Enterprise Partnership in England has the highest number of associated Lower Layer Super Output Areas according to the best fit lookup as of April 2017?,success,23.624,2,,4230,1014,8.172,0,,3663,177,31.796
UK,multi-table-join,challenging,true,e1140797-2771-41d1-9d39-6f8332772b6d,fdd27ce0-2a54-45dd-9a15-5a8593b51b38,65786ddd-819e-4cf1-b6c5-311313f8db73,f1092221-b5b3-4a96-ab03-51e88176c6d4,"","",county,unnamed:_0,"SELECT R.county, AVG(R.number_of_births) AS avg_births, MAX(CAST(S.""number_of_animals"" AS INTEGER)) AS max_animals FROM R JOIN S ON R.county = S.""unnamed:_0"" GROUP BY R.county HAVING COUNT(*) > 1 ORDER BY avg_births DESC","Which Scottish counties had more than one birth application for non-dairy cattle in December 2015, and what were the average number of births and the maximum number of animals registered per county? Please list them starting with the highest average number of births.",success,7.814,0,,2265,313,7.634,0,,2868,199,15.448
UK,single-table,simple,true,f1b23ce6-b985-463c-951b-fcd0ff9c3329,,bd104e33-9ef3-41c9-b45c-b9f96cbc3a20,,CSV,,,,"SELECT ""wd16_nm"", ""lad16_nm"" FROM R WHERE ""wd16_nm"" = 'monk fryston' AND ""lad16_nm"" = 'selby';",What is the ward name and local authority district name where the ward name is 'monk fryston' and the local authority district name is 'selby'?,success,30.609,3,,5171,1312,6.988,0,,3571,138,37.597
UK,single-table,challenging,true,ed53f68e-ba45-4af7-a0ca-850d01159bb9,,6e2333b8-d8cb-464f-b8b6-ff9f032f7100,,CSV,,,,"WITH RankedAreas AS ( SELECT ifid, lad14_nm, shape__area, ROW_NUMBER() OVER (ORDER BY shape__area DESC) as area_rank FROM R ) SELECT ifid, lad14_nm, shape__area FROM RankedAreas WHERE area_rank <= 5;","Which five local authority districts in Great Britain had the largest areas as of December 2014, according to the boundaries provided by the Office for National Statistics?",success,6.594,0,,1597,278,7.713,0,,3658,159,14.307
UK,single-table,moderate,true,d99e4fc9-c50b-4b6d-b9af-889319662cfd,,60c26934-ac70-4a77-86c0-de317a02a68d,,"",,,,"SELECT species_class, COUNT(*) AS number_of_species FROM R GROUP BY species_class",How many distinct avian species were tested in each class at the Animal and Plant Health Agency’s laboratories in 2013?,success,4.406,0,,1199,223,17.443,2,,5554,512,21.849
UK,single-table,moderate,true,ddddb36d-e89d-4e2d-b8f1-54dd39d630b7,,89c33424-e918-4968-9560-5b4bcc16bfe3,,2022-06-30 Organogram (Junior),,,,"SELECT SUM(""payscale_minimum__a_"" + ""payscale_maximum__a_"") / 2 AS average_salary, ""office_region"" FROM R WHERE ""grade"" = 'grade 7' AND ""generic_job_title"" LIKE '%engineering and science%' GROUP BY ""office_region"";",What is the average salary for Grade 7 positions in engineering and science roles across different office regions within the Head Office and Corporate Services of the Ministry of Defence?,success,26.075,2,,4948,1140,5.385,0,,2033,148,31.46
UK,single-table,challenging,true,4c918a8e-9d90-4175-8419-63c47a55c317,,f13d7a3d-5ad1-49dd-8ea4-8169e07a5704,,CSV,,,,"WITH RankedRegions AS ( SELECT ""rgn20_nm"", COUNT(""fid"") AS ""region_count"", ROW_NUMBER() OVER (PARTITION BY ""ctry20_nm"" ORDER BY COUNT(""fid"") DESC) AS ""rank"" FROM R GROUP BY ""rgn20_nm"", ""ctry20_nm"" ) SELECT * FROM RankedRegions WHERE ""rank"" = 1;","According to the Office for National Statistics' December 2020 administrative boundaries lookup, which region has the highest number of wards within each country in the United Kingdom?",success,7.469,0,,1814,310,8.183,0,,4539,139,15.652000000000001
UK,single-table,simple,true,d262630c-d22b-4659-a552-2735223a9186,,736da925-f409-49b8-99c8-6ea7a57641d0,,2022-03-31 Organogram (Senior),,,,"SELECT name, job_title FROM R WHERE organisation = 'home office';",What are the names and job titles of individuals working within the Home Office?,success,6.317,0,,2518,238,12.485,1,,5536,301,18.802
UK,single-table,moderate,true,e96e43bd-1ea4-4d09-8d09-ec27cfc3110c,,89c33424-e918-4968-9560-5b4bcc16bfe3,,2022-10-31 Organogram (Junior),,,,"SELECT organisation, COUNT(*) AS number_of_units FROM R GROUP BY organisation ORDER BY number_of_units DESC;","How many units does each organization within the Head Office and Corporate Services have, ordered from most to least units?",success,6.219,0,,1678,253,5.889,0,,1937,162,12.108
UK,single-table,challenging,true,f9c5071c-c159-4fe8-afb4-1f50020ddb9f,,f95c431d-b1ee-48bc-bdb8-d87b0e871751,,2022-12-31 Organogram (Junior),,,,"WITH RankedPosts AS ( SELECT *, ROW_NUMBER() OVER (PARTITION BY ""organisation"", ""generic_job_title"" ORDER BY ""payscale_maximum__a_"" DESC) as rn FROM R ) SELECT * FROM RankedPosts WHERE rn = 1;","Which job titles in the Valuation Office Agency have the highest maximum pay scales within each organizational unit, and what are their corresponding regions and grades?",success,6.206,0,,1906,273,5.435,0,,2213,151,11.641
UK,single-table,moderate,true,f57a9ff2-aa84-4729-aeff-ac0de2383182,,736da925-f409-49b8-99c8-6ea7a57641d0,,,,,,"SELECT parent_department, COUNT(*) AS number_of_posts FROM R GROUP BY parent_department ORDER BY number_of_posts DESC;",Which department within the Home Office has the most posts according to their organizational chart?,success,7.119,0,,2655,265,5.135,0,,2802,118,12.254
UK,single-table,moderate,true,1c71947e-9cb8-4aaf-82c1-b444a7229fec,,736da925-f409-49b8-99c8-6ea7a57641d0,,,,,,"SELECT ""organisation"", AVG(""payscale_maximum__a_"") AS avg_max_payscale FROM R GROUP BY ""organisation"" HAVING COUNT(*) > 1;",What is the average maximum pay scale for each department within the Home Office that has more than one position listed?,success,14.029,1,,3000,661,5.584,0,,1931,163,19.613
UK,single-table,challenging,true,5f5c9494-b5a4-4710-a4df-e2e709e77d33,,fff4cc89-d266-42dd-a9e3-9877db1e05fc,,2022-10-29 Organogram (Junior),,,,"WITH RankedJobs AS ( SELECT *, ROW_NUMBER() OVER (PARTITION BY ""generic_job_title"" ORDER BY ""payscale_maximum__a_"" DESC) as rn FROM R ) SELECT * FROM RankedJobs WHERE rn = 1","For each job title within the Defence Infrastructure Organisation's organogram from 2022-10-29, which position has the highest maximum pay scale?",success,6.64,0,,1910,274,5.833,0,,2043,159,12.472999999999999
UK,single-table,moderate,true,a6d87913-41bc-4bb7-8cdc-e8242f017dab,,7a02d1d9-6e8d-46ad-8717-aeec1e1877c5,,CSV,,,,"SELECT pfa17nm, COUNT(*) AS area_count FROM R GROUP BY pfa17nm ORDER BY SUM(shape__area) DESC;","Which police force areas in England and Wales, as of December 2017, cover the largest total area, and how many distinct areas are there for each?",success,28.184,3,,6612,1176,8.401,0,,3940,174,36.585
UK,single-table,challenging,true,e96e43bd-1ea4-4d09-8d09-ec27cfc3110c,,89c33424-e918-4968-9560-5b4bcc16bfe3,,2022-10-31 Organogram (Junior),,,,"WITH RankedPosts AS ( SELECT *, ROW_NUMBER() OVER (PARTITION BY office_region ORDER BY payscale_maximum__a_ DESC) as rank FROM R ) SELECT * FROM RankedPosts WHERE rank = 1;",What are the highest paying roles in each office region for the Head Office and Corporate Services at the Ministry of Defence?,success,6.508,0,,1799,264,5.739,0,,2028,156,12.247
